Aménageur;Opérateur;Enseigne;Id station;Nom Station;Adresse;Code INSEE;Nombre Points de charge;ID Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Observations;Date de Mise à Jour;Source;Coordonnees;Code Officiel Région;Code Officiel Département;Code EPCI;Nom de l'EPCI;Commune;Nom de la région;Nom du département
Communauté d'Agglomération Valenciennes Métropole;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H03*P59606*003;VALENCIENNES - Gare;Gare 59300 VALENCIENNES;59606;2;FR*H03*E59606*003*1;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.362522, 3.517346;32;59;245901160;CA Valenciennes Métropole;Valenciennes;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Valenciennes Métropole;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H03*P59112*002;BRUAY-SUR-L'ESCAUT - Place Fontaine;Place Fontaine 59860 BRUAY-SUR-L'ESCAUT;59112;2;FR*H03*E59112*002*1;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.397495, 3.669368;32;59;245901160;CA Valenciennes Métropole;Bruay-sur-l'Escaut;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Valenciennes Métropole;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H03*P59014*002;ANZIN - ZA Rives Créatives de l'Escaut;ZA Rives Créatives de l'Escaut 59410 ANZIN;59014;2;FR*H03*E59014*002*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.373344, 3.520827;32;59;245901160;CA Valenciennes Métropole;Anzin;HAUTS DE FRANCE;NORD
Communauté d'Agglomération du Boulonnais;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H05*P62160*006;BOULOGNE-SUR-MER - Boulevard Napoléon;Boulevard Napoléon 62200 BOULOGNE-SUR-MER;62160;2;FR*H05*E62160*006*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2021-01-02;https://www.data.gouv.fr/fr/datasets/bornes-de-recharge-de-la-communaute-dagglomeration-du-boulonnais/#resource-1bf801fa-43c0-448e-949a-0a91ac15d11c;50.723057, 1.595387;32;62;246200729;CA du Boulonnais;Boulogne-sur-Mer;HAUTS DE FRANCE;PAS DE CALAIS
Communauté d'Agglomération du Pays de Saint Omer;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H01*P62525*002;LONGUENESSE - Place de l'hotel de ville;Place de l'hotel de ville 62219 LONGUENESSE;62525;2;FR*H01*E62525*002*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.738335, 2.444874;32;62;200069037;CA du Pays de Saint-Omer;Longuenesse;HAUTS DE FRANCE;PAS DE CALAIS
Communauté d'Agglomération du Pays de Saint Omer;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H01*P62336*001;FLÉCHIN - Rue Haute;Rue Haute 62960 FLÉCHIN;62336;2;FR*H01*E62336*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.560562, 2.290743;32;62;200069037;CA du Pays de Saint-Omer;Fléchin;HAUTS DE FRANCE;PAS DE CALAIS
Communauté de Communes du Pays d'Opale;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H11*P62038*001;ARDRES - Avenue de Saint-Omer;Avenue de Saint-Omer 62610 ARDRES;62038;2;FR*H11*E62038*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.852688, 1.986287;32;62;200072478;CC Pays d'Opale;Ardres;HAUTS DE FRANCE;PAS DE CALAIS
DS Dunkerque;DRIVECO;DS Dunkerque;FR*G44*PSOFIDADS59210*1;DS Dunkerque;5 Route de Bergues 59210 Coudekerque-Branche;59155;6;FR*G44*E10392*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;51.021099, 2.37495;32;59;245900428;CU de Dunkerque;Coudekerque-Branche;HAUTS DE FRANCE;NORD
Domyos - Marcq-en-Bar?ul;DRIVECO;Domyos - Marcq-en-Bar?ul;FR*G51*PDECATHLON59700*1;Domyos - Marcq-en-Bar?ul;1 allée des Olympiades 59700 MARQ EN BAROEUL;59378;6;FR*G51*E10453*P1;11.04;EF, T2;Payant;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.685961, 3.090513;32;59;200093201;Métropole Européenne de Lille;Marcq-en-Barœul;HAUTS DE FRANCE;NORD
EDHEC - Campus Arnault;DRIVECO;EDHEC - Campus Arnault;FR*SSD*PEDHEC59100*1;EDHEC - Campus Arnault;5 Avenue Louis Pluquet 59100 Roubaix;59512;4;FR*SSD*E10784*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.672618, 3.15422;32;59;200093201;Métropole Européenne de Lille;Roubaix;HAUTS DE FRANCE;NORD
